Frequência (Hz)	Nível (dB)
16236,035156	-66,610138
16279,101562	-66,858192
16322,167969	-66,067154
16365,234375	-65,706245
16408,300781	-66,576591
16451,367188	-66,897079
16494,433594	-66,907318
16537,500000	-67,227341
16580,566406	-67,106354
16623,632812	-66,831741
16666,699219	-67,565819
16709,765625	-68,058533
16752,832031	-67,949486
16795,898438	-68,076973
16838,964844	-68,384346
16882,031250	-68,378860
16925,097656	-68,294540
16968,164062	-68,839241
17011,230469	-69,043503
17054,296875	-69,525734
17097,363281	-68,948921
17140,429688	-68,711311
17183,496094	-69,230759
17226,562500	-69,283501
17269,628906	-69,345543
17312,695312	-70,009125
17355,761719	-70,406235
17398,828125	-69,649216
17441,894531	-69,207893
17484,960938	-69,212250
17528,027344	-69,162888
17571,093750	-69,036110
17614,160156	-69,672386
17657,226562	-70,062820
17700,292969	-69,783150
17743,359375	-70,017036
17786,425781	-70,886749
17829,492188	-71,935509
17872,558594	-71,082298
17915,625000	-71,393333
17958,691406	-70,887428
18001,757812	-70,667252
18044,824219	-71,268257
18087,890625	-70,541725
18130,957031	-70,619118
18174,023438	-70,492020
18217,089844	-70,131645
18260,156250	-70,312935
18303,222656	-70,514153
18346,289062	-70,347725
18389,355469	-70,800949
18432,421875	-71,521935
18475,488281	-71,552803
18518,554688	-71,309608
18561,621094	-71,487640
18604,687500	-71,254654
18647,753906	-71,163742
18690,820312	-71,445854
18733,886719	-71,643806
18776,953125	-72,224220
18820,019531	-73,114418
18863,085938	-72,973854
18906,152344	-72,810028
18949,218750	-73,270866
18992,285156	-73,355774
19035,351562	-73,629616
19078,417969	-74,030769
19121,484375	-74,346832
19164,550781	-74,417938
19207,617188	-75,163002
19250,683594	-74,828354
19293,750000	-74,844261
19336,816406	-75,070160
19379,882812	-75,234398
19422,949219	-74,988525
19466,015625	-75,775536
19509,082031	-75,897232
19552,148438	-75,597359
19595,214844	-76,827065
19638,281250	-77,120697
19681,347656	-76,857086
19724,414062	-76,868690
19767,480469	-75,812698
19810,546875	-76,145767
19853,613281	-76,893967
19896,679688	-77,239891
19939,746094	-76,665878
19982,812500	-77,016777
20025,878906	-77,983704
20068,945312	-77,748901
20112,011719	-77,978996
20155,078125	-77,960587
20198,144531	-78,468224
20241,210938	-79,563789
20284,277344	-79,171516
